"","id","dam","sire","absLLRtotal","Fertilization_pairs","loci"
"1","adapter_trim.F2-J104-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B1-pH8.bam",0.7,TRUE,"CM084267_1_13231056.1, CM084264_1_70355122.0, CM084271_1_43934411.0, CM084272_1_33454573.1, CM084264_1_69275359.1, CM084265_1_66143662.1, CM084278_1_31960704.0, CM084273_1_21179270.1, CM084271_1_44077341.1, CM084264_1_70471433.0, CM084274_1_4773546.0, CM084270_1_42355495.1, CM084278_1_22664889.0, CM084270_1_47077463.0, CM084270_1_4920904.1, CM084274_1_4785935.1, CM084276_1_11709759.0, CM084265_1_70577871.0, CM084268_1_1508040.1, CM084278_1_8558506.1, CM084276_1_20157216.0, CM084267_1_51248426.1, CM084278_1_28652016.0, CM084277_1_18546604.0, CM084268_1_3704020.0, CM084277_1_28144351.0, CM084266_1_68919241.1, CM084274_1_4694551.0, CM084266_1_64164372.0, CM084273_1_42253133.0"
"2","adapter_trim.F2-B10-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B1-pH8.bam",0.59,TRUE,"CM084264_1_26771529.1, CM084271_1_30532481.0, CM084265_1_71828881.0, CM084269_1_1538788.1, CM084271_1_43868125.1, CM084276_1_2855915.1, CM084266_1_71149029.0, CM084264_1_8098050.1, CM084264_1_72011674.1, CM084265_1_70607188.0, CM084275_1_25393263.0, CM084266_1_59802412.1, CM084269_1_43524472.0, CM084274_1_4870202.0, CM084274_1_21933035.1, CM084276_1_38558670.1, CM084270_1_1553326.0, CM084277_1_17835716.0, CM084279_1_32917233.1, CM084264_1_66439662.0, CM084265_1_790976.0, CM084270_1_47077595.1, CM084265_1_64735166.1, CM084266_1_70396060.1, CM084265_1_64585926.1, CM084270_1_42348998.1, CM084268_1_3699589.1, CM084279_1_10159275.0, CM084265_1_66143662.0, CM084265_1_24901859.0"
"3","adapter_trim.F2-J85-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B1-pH8.bam",0.7,TRUE,"CM084266_1_58086157.0, CM084274_1_43102349.0, CM084268_1_23612506.0, CM084266_1_67098131.0, CM084265_1_71925202.0, CM084266_1_69793914.0, CM084276_1_38787722.1, CM084264_1_2738036.1, CM084277_1_30611564.0, CM084266_1_23321801.0, CM084268_1_3699701.1, CM084276_1_38775920.0, CM084275_1_39781005.1, CM084279_1_10149633.1, CM084274_1_4796888.1, CM084271_1_37237148.0, CM084265_1_69004202.0, CM084269_1_15827759.0, CM084269_1_1558034.0, CM084269_1_15799390.0, CM084265_1_72978107.1, CM084271_1_289999.1, CM084265_1_71797896.0, CM084275_1_25388576.0, CM084278_1_20736236.0, CM084268_1_28845509.0, CM084277_1_18546604.0, CM084270_1_47103340.0, CM084277_1_30631454.1, CM084271_1_43860505.1"
"4","adapter_trim.F2-B13-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B1-pH8.bam",1.08,FALSE,"CM084275_1_25393709.0, CM084266_1_71149023.1, CM084269_1_15823421.0, CM084276_1_38559646.1, CM084265_1_71827811.0, CM084266_1_57888742.1, CM084264_1_70188213.1, CM084269_1_46692099.0, CM084268_1_18519472.0, CM084266_1_69547380.1, CM084272_1_29973150.1, CM084274_1_5566177.0, CM084275_1_39776469.0, CM084274_1_4723647.0, CM084279_1_1064676.1, CM084266_1_71224927.0, CM084274_1_4773495.0, CM084266_1_64726664.0, CM084276_1_1847305.1, CM084267_1_3748455.0, CM084274_1_4695098.0, CM084273_1_42294202.0, CM084268_1_4026799.1, CM084273_1_42285391.0, CM084266_1_61737001.0, CM084266_1_57885009.0, CM084264_1_34293018.1, CM084275_1_38169321.0, CM084266_1_58111750.0, CM084269_1_45420483.1"
"5","adapter_trim.F2-J122-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B10-pH8.bam",1.25,FALSE,"CM084275_1_35722051.1, CM084265_1_64196884.0, CM084270_1_47077463.0, CM084265_1_60316111.0, CM084268_1_3704024.0, CM084277_1_4875961.0, CM084269_1_1567360.1, CM084269_1_1558041.1, CM084264_1_69712159.0, CM084276_1_37144250.1, CM084266_1_71166412.1, CM084276_1_38775920.1, CM084274_1_4862014.1, CM084266_1_70181836.0, CM084276_1_37352348.0, CM084266_1_57884809.0, CM084269_1_1556138.1, CM084279_1_32644179.0, CM084268_1_49719742.0, CM084267_1_700114.0, CM084274_1_4778609.1, CM084277_1_31296163.1, CM084271_1_43851333.1, CM084278_1_20732798.1, CM084274_1_7449618.0, CM084274_1_4726638.0, CM084267_1_2081906.1, CM084269_1_39737155.0, CM084274_1_4671994.0, CM084265_1_68074259.0"
"6","adapter_trim.F2-J141-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.91,FALSE,"CM084268_1_22932625.1, CM084274_1_4694254.1, CM084269_1_15799403.1, CM084275_1_120808.1, CM084266_1_66483893.0, CM084277_1_30027539.0, CM084267_1_51248426.1, CM084269_1_45438488.1, CM084264_1_61167189.1, CM084276_1_38552579.1, CM084265_1_71265328.0, CM084268_1_28845513.0, CM084267_1_832141.0, CM084271_1_37244938.0, CM084269_1_40338566.0, CM084269_1_43525146.0, CM084270_1_12307511.1, CM084271_1_30532401.1, CM084274_1_4694239.1, CM084272_1_1307854.0, CM084273_1_31864421.0, CM084267_1_8118540.1, CM084269_1_35642171.1, CM084271_1_379011.1, CM084267_1_6421243.0, CM084278_1_16774412.0, CM084266_1_69625503.0, CM084273_1_42252907.0, CM084270_1_46588162.1, CM084266_1_68515581.1"
"7","adapter_trim.F2-J83-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.76,FALSE,"CM084274_1_4694578.0, CM084275_1_327388.1, CM084268_1_50679469.1, CM084274_1_4708033.0, CM084279_1_32641182.1, CM084264_1_70355122.1, CM084268_1_82411.1, CM084275_1_1304701.1, CM084269_1_1538788.0, CM084265_1_69381551.0, CM084268_1_3704024.1, CM084276_1_38558546.0, CM084269_1_1549398.0, CM084269_1_47563826.0, CM084268_1_4036222.0, CM084273_1_31864733.0, CM084274_1_34977132.1, CM084270_1_46590815.0, CM084275_1_400249.0, CM084276_1_38773493.1, CM084270_1_35204451.1, CM084268_1_50219223.1, CM084278_1_19961223.0, CM084272_1_33617974.0, CM084271_1_276716.1, CM084268_1_28845816.0, CM084272_1_18170755.0, CM084279_1_32915259.0, CM084265_1_59221275.1, CM084264_1_61167189.0"
"8","adapter_trim.F2-J127-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B10-pH8.bam",1.01,FALSE,"CM084266_1_58086157.0, CM084274_1_43102349.0, CM084268_1_23612506.0, CM084266_1_67098131.0, CM084265_1_71925202.0, CM084266_1_69793914.0, CM084276_1_38787722.1, CM084264_1_2738036.1, CM084277_1_30611564.0, CM084266_1_23321801.0, CM084268_1_3699701.1, CM084276_1_38775920.0, CM084275_1_39781005.1, CM084279_1_10149633.1, CM084274_1_4796888.1, CM084271_1_37237148.0, CM084265_1_69004202.0, CM084269_1_15827759.0, CM084269_1_1558034.0, CM084269_1_15799390.0, CM084265_1_72978107.1, CM084271_1_289999.1, CM084265_1_71797896.0, CM084275_1_25388576.0, CM084278_1_20736236.0, CM084268_1_28845509.0, CM084277_1_18546604.0, CM084270_1_47103340.0, CM084277_1_30631454.1, CM084271_1_43860505.1"
"9","adapter_trim.F2-J107-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.88,FALSE,"CM084269_1_43528607.1, CM084264_1_75506833.0, CM084266_1_69793914.0, CM084264_1_70190068.0, CM084274_1_4694263.1, CM084275_1_19996655.0, CM084267_1_6421475.1, CM084266_1_57885157.1, CM084265_1_68869208.1, CM084275_1_675849.1, CM084278_1_32252684.0, CM084278_1_20600197.1, CM084271_1_19934424.1, CM084267_1_30270830.0, CM084269_1_15823423.1, CM084266_1_52832550.1, CM084271_1_344406.0, CM084278_1_20701460.0, CM084272_1_18193991.0, CM084274_1_4769088.0, CM084273_1_10424351.0, CM084274_1_3691337.0, CM084268_1_28845522.1, CM084275_1_39502454.1, CM084264_1_66522465.0, CM084268_1_24031324.1, CM084265_1_72368299.1, CM084274_1_4795062.1, CM084267_1_51248425.0, CM084266_1_68919260.1"
"10","adapter_trim.F2-J125-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.93,TRUE,"CM084275_1_39502397.0, CM084271_1_43817223.0, CM084276_1_37352348.0, CM084274_1_42855653.0, CM084270_1_8444546.0, CM084271_1_346606.0, CM084264_1_26773648.0, CM084276_1_38072623.0, CM084264_1_69294926.0, CM084266_1_66377784.1, CM084275_1_23083657.0, CM084275_1_4345708.0, CM084266_1_64164374.1, CM084276_1_38558603.0, CM084266_1_65347078.1, CM084275_1_25388529.1, CM084275_1_36059252.1, CM084264_1_73291504.0, CM084279_1_10150670.1, CM084277_1_10628755.0, CM084278_1_20867809.1, CM084268_1_28855770.1, CM084269_1_1558052.0, CM084268_1_4550920.1, CM084272_1_1596808.1, CM084272_1_43331300.1, CM084264_1_34294660.1, CM084266_1_57886823.0, CM084276_1_37916914.0, CM084274_1_4695106.0"
"11","adapter_trim.F2-J126-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B10-pH8.bam",1.01,TRUE,"CM084272_1_1308664.1, CM084265_1_71796317.0, CM084276_1_1856066.1, CM084279_1_31409037.0, CM084266_1_70181797.0, CM084274_1_4709093.1, CM084276_1_20157216.1, CM084269_1_45238254.1, CM084264_1_72075479.0, CM084271_1_289999.1, CM084272_1_1883067.1, CM084265_1_72368172.1, CM084270_1_32126729.0, CM084268_1_9292474.1, CM084265_1_65233046.0, CM084264_1_73931173.1, CM084276_1_38558658.0, CM084274_1_4863726.0, CM084269_1_43524104.1, CM084265_1_791030.1, CM084274_1_4709650.1, CM084273_1_10424351.1, CM084272_1_1883067.1, CM084264_1_8099092.1, CM084269_1_35627219.1, CM084266_1_65580309.0, CM084269_1_15809957.0, CM084279_1_28791311.0, CM084264_1_66439654.0, CM084277_1_29781980.1"
"12","adapter_trim.F2-B16-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B11-pH8.bam",0.68,FALSE,"CM084275_1_39394528.1, CM084265_1_71831292.0, CM084269_1_40338566.0, CM084268_1_50681648.1, CM084264_1_74191573.0, CM084276_1_38559639.1, CM084277_1_28144351.0, CM084269_1_43525116.1, CM084277_1_1868381.1, CM084266_1_23321836.0, CM084266_1_68200825.1, CM084275_1_35722063.1, CM084270_1_1559641.0, CM084276_1_25809477.1, CM084268_1_3699577.1, CM084279_1_32652116.1, CM084272_1_43469474.0, CM084278_1_15228737.1, CM084275_1_39502454.1, CM084274_1_4694202.1, CM084266_1_71160169.0, CM084268_1_18519471.0, CM084265_1_8361562.0, CM084276_1_1856066.1, CM084264_1_70182851.0, CM084275_1_25393416.1, CM084266_1_62468799.0, CM084271_1_44070252.1, CM084275_1_529161.0, CM084264_1_72011634.1"
"13","adapter_trim.F2-J86-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.81,FALSE,"CM084272_1_1311984.0, CM084264_1_2737868.1, CM084264_1_68688357.1, CM084272_1_1894347.0, CM084266_1_57888961.0, CM084271_1_43868189.1, CM084274_1_4864709.0, CM084266_1_65993526.0, CM084267_1_699277.0, CM084278_1_22664889.0, CM084276_1_38772810.1, CM084269_1_45420488.0, CM084270_1_42345710.0, CM084275_1_524597.0, CM084276_1_7202888.0, CM084264_1_73926177.1, CM084271_1_19655820.0, CM084269_1_4636404.1, CM084277_1_5803945.0, CM084273_1_32698908.0, CM084270_1_32126731.1, CM084275_1_39776618.0, CM084265_1_70607188.0, CM084274_1_4869825.1, CM084275_1_25395524.0, CM084269_1_41809356.1, CM084265_1_59221281.1, CM084275_1_39780930.1, CM084264_1_2740173.1, CM084273_1_31863691.0"
"14","adapter_trim.F2-B11-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.96,FALSE,"CM084278_1_22667323.1, CM084264_1_8112672.0, CM084268_1_49719731.1, CM084276_1_2857930.1, CM084271_1_1033797.0, CM084264_1_70456944.0, CM084273_1_7839325.0, CM084278_1_25832327.0, CM084274_1_4778592.0, CM084274_1_4864682.0, CM084269_1_42862775.0, CM084274_1_4778609.1, CM084266_1_69052083.0, CM084271_1_43934411.1, CM084270_1_47077551.1, CM084274_1_43102349.1, CM084276_1_12392691.1, CM084269_1_39737118.1, CM084276_1_37352348.1, CM084264_1_6990362.1, CM084264_1_70185106.0, CM084264_1_26771545.1, CM084279_1_31409052.0, CM084274_1_42855653.1, CM084269_1_15798363.0, CM084275_1_38169321.1, CM084278_1_15228710.1, CM084278_1_20679238.1, CM084265_1_72636296.1, CM084265_1_70979994.1"
"15","adapter_trim.F2-J105-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.72,FALSE,"CM084268_1_50321855.0, CM084264_1_73309406.0, CM084270_1_4751873.0, CM084265_1_71794141.1, CM084269_1_15798323.1, CM084267_1_2653040.0, CM084265_1_64585921.0, CM084266_1_1233079.1, CM084266_1_67235326.1, CM084264_1_34294469.0, CM084274_1_4793087.1, CM084277_1_29208305.0, CM084266_1_69806306.0, CM084266_1_68320536.1, CM084276_1_38960928.0, CM084272_1_33503448.0, CM084276_1_38558585.1, CM084274_1_4730026.0, CM084276_1_38772805.0, CM084272_1_1894337.0, CM084271_1_342830.0, CM084278_1_20623588.1, CM084264_1_66439628.1, CM084271_1_43849282.1, CM084275_1_8878521.0, CM084268_1_276461.0, CM084274_1_4695098.0, CM084269_1_1555101.1, CM084269_1_42862718.0, CM084266_1_71149023.1"
